Agency,Type,Distribution,Product,Duration,Destination,Sales,Commision,Age,Claim
JZI,Airlines,Online,Basic Plan,19,INDIA,22.0,7.7,26,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,28,No
JZI,Airlines,Online,Basic Plan,4,THAILAND,22.0,7.7,39,No
JZI,Airlines,Online,Basic Plan,103,"KOREA, REPUBLIC OF",26.0,9.1,48,No
JZI,Airlines,Online,Basic Plan,12,VIET NAM,30.0,10.5,35,Yes
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,16.0,4.0,58,Yes
JZI,Airlines,Online,Basic Plan,8,THAILAND,30.0,10.5,42,No
C2B,Airlines,Online,Silver Plan,2,SINGAPORE,30.0,7.5,37,No
ART,Airlines,Online,24 Protect,3,"IRAN, ISLAMIC REPUBLIC OF",21.04,7.36,48,No
JZI,Airlines,Online,Basic Plan,5,CHINA,26.0,9.1,29,No
CSR,Travel Agency,Offline,Comprehensive Plan,43,MALAYSIA,29.0,9.57,8,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,30.55,7.64,22,No
JZI,Airlines,Online,Basic Plan,26,CHINA,35.0,12.25,27,No
JZI,Airlines,Online,Basic Plan,9,INDONESIA,18.0,6.3,49,No
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,0.0,5.63,25,No
JZI,Airlines,Online,Basic Plan,42,"KOREA, REPUBLIC OF",35.0,12.25,43,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,21.0,5.25,22,No
JZI,Airlines,Online,Basic Plan,23,VIET NAM,22.0,7.7,57,No
JZI,Airlines,Online,Value Plan,10,CHINA,45.0,15.75,45,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,39.0,9.75,31,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.55,4.39,30,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,17.0,4.25,52,Yes
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,28,No
JZI,Airlines,Online,Basic Plan,38,THAILAND,30.0,10.5,46,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,19.5,4.88,27,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,29.5,7.38,27,No
C2B,Airlines,Online,Bronze Plan,58,SINGAPORE,62.0,15.5,23,Yes
JZI,Airlines,Online,Basic Plan,19,CHINA,26.0,9.1,40,No
JZI,Airlines,Online,Basic Plan,28,MALAYSIA,30.0,10.5,33,No
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,22.5,5.63,22,Yes
JZI,Airlines,Online,Basic Plan,43,PHILIPPINES,42.0,14.7,43,No
C2B,Airlines,Online,Silver Plan,44,SINGAPORE,39.0,9.75,50,No
JZI,Airlines,Online,Basic Plan,27,THAILAND,22.0,7.7,39,No
JZI,Airlines,Online,Basic Plan,19,JAPAN,44.0,15.4,41,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,27,No
JZI,Airlines,Online,Basic Plan,7,MALAYSIA,18.0,6.3,53,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,20,No
TST,Travel Agency,Offline,Travel Cruise Protect,63,MALAYSIA,30.0,10.5,76,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,53.25,13.31,33,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,65,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,62.25,15.56,34,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,32.0,8.0,74,No
JZI,Airlines,Online,Value Plan,14,THAILAND,39.0,13.65,39,No
JZI,Airlines,Online,Value Plan,18,AUSTRALIA,58.0,20.3,48,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,41,No
JZI,Airlines,Online,Basic Plan,39,SRI LANKA,22.0,7.7,29,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,29,No
JZI,Airlines,Online,Basic Plan,10,CHINA,22.0,7.7,66,No
JZI,Airlines,Online,Basic Plan,51,THAILAND,22.0,7.7,36,No
JZI,Airlines,Online,Value Plan,9,AUSTRALIA,45.0,15.75,45,Yes
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,43,No
JZI,Airlines,Online,Basic Plan,14,CHINA,26.0,9.1,45,No
JZI,Airlines,Online,Value Plan,71,AUSTRALIA,58.0,20.3,28,No
JZI,Airlines,Online,Basic Plan,0,CHINA,22.0,7.7,34,No
JZI,Airlines,Online,Basic Plan,9,SRI LANKA,26.0,9.1,63,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,55,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,26.5,6.63,41,No
JZI,Airlines,Online,Basic Plan,116,THAILAND,18.0,6.3,39,No
JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,36,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,21,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,35.5,8.88,29,No
JZI,Airlines,Online,Value Plan,17,CHINA,58.0,20.3,30,No
