Duration,Sales,Commision,Age,Claim,Type_Travel Agency,Distribution_Online,Agency_encoded,Product_encoded,Destination_encoded
19,22.0,7.7,26,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
8,16.0,4.0,28,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
4,22.0,7.7,39,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
103,26.0,9.1,48,0,0,1,0.0047556142668428005,0.004319032536711776,0.034722222222222224
12,30.0,10.5,35,1,0,1,0.0047556142668428005,0.004319032536711776,0.016042780748663103
30,16.0,4.0,58,1,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
8,30.0,10.5,42,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
2,30.0,7.5,37,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
3,21.04,7.36,48,0,0,1,0.0,0.0,0.0
5,26.0,9.1,29,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
43,29.0,9.57,8,0,1,0,0.0196078431372549,0.017045454545454544,0.0061633281972265025
16,30.55,7.64,22,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
26,35.0,12.25,27,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
9,18.0,6.3,49,0,0,1,0.0047556142668428005,0.004319032536711776,0.011538461538461539
23,0.0,5.63,25,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
42,35.0,12.25,43,0,0,1,0.0047556142668428005,0.004319032536711776,0.034722222222222224
10,21.0,5.25,22,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
23,22.0,7.7,57,0,0,1,0.0047556142668428005,0.004319032536711776,0.016042780748663103
10,45.0,15.75,45,0,0,1,0.0047556142668428005,0.008141112618724558,0.006711409395973154
9,39.0,9.75,31,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
8,17.55,4.39,30,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
11,17.0,4.25,52,1,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
4,15.0,6.0,28,0,0,1,0.0031746031746031746,0.008141112618724558,0.0031645569620253164
38,30.0,10.5,46,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
3,19.5,4.88,27,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
11,29.5,7.38,27,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
58,62.0,15.5,23,1,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
19,26.0,9.1,40,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
28,30.0,10.5,33,0,0,1,0.0047556142668428005,0.004319032536711776,0.0061633281972265025
19,22.5,5.63,22,1,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
43,42.0,14.7,43,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
44,39.0,9.75,50,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
27,22.0,7.7,39,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
19,44.0,15.4,41,0,0,1,0.0047556142668428005,0.004319032536711776,0.007633587786259542
6,16.0,4.0,27,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
7,18.0,6.3,53,0,0,1,0.0047556142668428005,0.004319032536711776,0.0061633281972265025
16,33.5,8.38,20,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
63,30.0,10.5,76,0,1,0,0.005952380952380952,0.005952380952380952,0.0061633281972265025
6,53.25,13.31,33,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
4,16.0,4.0,65,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
21,62.25,15.56,34,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
24,32.0,8.0,74,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
14,39.0,13.65,39,0,0,1,0.0047556142668428005,0.008141112618724558,0.004296455424274973
18,58.0,20.3,48,0,0,1,0.0047556142668428005,0.008141112618724558,0.008849557522123894
9,20.0,5.0,41,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
39,22.0,7.7,29,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
5,16.0,4.0,29,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
10,22.0,7.7,66,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
51,22.0,7.7,36,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
9,45.0,15.75,45,1,0,1,0.0047556142668428005,0.008141112618724558,0.008849557522123894
6,22.5,5.63,43,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
14,26.0,9.1,45,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
71,58.0,20.3,28,0,0,1,0.0047556142668428005,0.008141112618724558,0.008849557522123894
0,22.0,7.7,34,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
9,26.0,9.1,63,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
10,40.0,10.0,55,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
11,26.5,6.63,41,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
116,18.0,6.3,39,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
2,22.0,7.7,36,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
12,16.0,4.0,21,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
6,35.5,8.88,29,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
17,58.0,20.3,30,0,0,1,0.0047556142668428005,0.008141112618724558,0.006711409395973154
38,30.0,10.5,63,0,1,0,0.005952380952380952,0.005952380952380952,0.0061633281972265025
39,26.0,9.1,54,0,0,1,0.0047556142668428005,0.004319032536711776,0.00477326968973747
4,18.0,6.3,30,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
68,40.0,14.0,21,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
4,13.5,3.38,28,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
64,63.5,15.88,60,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
5,45.0,15.75,42,0,0,1,0.0047556142668428005,0.008141112618724558,0.006711409395973154
14,43.55,10.89,47,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
2,15.0,6.0,66,0,0,1,0.0031746031746031746,0.008141112618724558,0.0031645569620253164
8,20.0,5.0,36,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
10,35.0,12.25,59,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
39,33.0,11.55,44,0,0,1,0.0047556142668428005,0.004319032536711776,0.011538461538461539
18,33.5,8.38,68,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
8,22.5,5.63,41,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
14,35.0,12.25,47,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
41,33.5,8.38,29,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
15,31.0,12.4,37,0,0,1,0.0031746031746031746,0.008141112618724558,0.0031645569620253164
15,22.0,7.7,38,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
7,18.5,4.63,37,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
35,22.0,7.7,53,0,0,1,0.0047556142668428005,0.004319032536711776,0.011538461538461539
10,27.0,6.75,25,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
4,15.0,6.0,36,0,0,1,0.0031746031746031746,0.008141112618724558,0.0031645569620253164
13,20.0,5.0,42,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
4,45.0,11.25,51,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
8,17.0,4.25,75,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
65,33.5,8.38,32,0,0,1,0.059456550981974714,0.032520325203252036,0.05921757770632369
10,33.5,8.38,24,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
6,22.0,7.7,55,0,0,1,0.0047556142668428005,0.004319032536711776,0.00477326968973747
13,22.0,7.7,38,0,0,1,0.0047556142668428005,0.004319032536711776,0.011538461538461539
11,27.0,6.75,32,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
16,3.22,1.13,48,0,0,1,0.0,0.0,0.0
121,14.11,4.94,48,0,0,1,0.0,0.0,0.0
2,4.95,1.73,48,0,0,1,0.0,0.0,0.0
11,41.5,10.38,35,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
63,35.0,12.25,48,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
5,16.0,4.0,39,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
42,22.0,7.7,46,0,0,1,0.0047556142668428005,0.004319032536711776,0.016042780748663103
22,26.0,9.1,37,0,0,1,0.0047556142668428005,0.004319032536711776,0.00477326968973747
26,26.0,9.1,48,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
11,39.0,9.75,23,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
35,47.5,11.88,31,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
7,45.0,15.75,30,0,0,1,0.0047556142668428005,0.008141112618724558,0.006711409395973154
12,22.0,7.7,66,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
5,27.75,6.94,25,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
18,22.0,7.7,45,0,0,1,0.0047556142668428005,0.004319032536711776,0.011538461538461539
3,18.0,6.3,49,0,0,1,0.0047556142668428005,0.004319032536711776,0.016042780748663103
6,24.5,6.13,38,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
12,24.0,6.0,54,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
47,50.0,17.5,31,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
87,52.65,13.16,42,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
10,26.0,9.1,27,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
90,44.0,15.4,62,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
101,40.0,14.0,51,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
19,26.5,6.63,36,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
20,22.0,7.7,39,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
29,29.0,9.57,73,0,1,0,0.0196078431372549,0.017045454545454544,0.004296455424274973
11,39.0,9.75,24,1,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
9,0.0,9.1,31,0,0,1,0.0047556142668428005,0.004319032536711776,0.00477326968973747
54,33.5,8.38,23,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
81,41.5,10.38,29,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
13,63.7,15.93,53,0,0,1,0.059456550981974714,0.032520325203252036,0.05921757770632369
61,26.0,9.1,42,0,0,1,0.0047556142668428005,0.004319032536711776,0.00477326968973747
3,18.0,6.3,63,0,0,1,0.0047556142668428005,0.004319032536711776,0.016042780748663103
3,18.0,6.3,44,0,0,1,0.0047556142668428005,0.004319032536711776,0.004296455424274973
27,14.95,3.74,41,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
15,41.5,10.38,29,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
8,32.0,8.0,25,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
11,35.0,12.25,64,0,0,1,0.0047556142668428005,0.004319032536711776,0.00477326968973747
2,25.0,16.25,48,0,1,1,0.0364963503649635,0.05263157894736842,0.011538461538461539
55,58.0,20.3,49,0,0,1,0.0047556142668428005,0.008141112618724558,0.00477326968973747
8,30.0,10.5,36,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
18,35.0,12.25,69,0,0,1,0.0047556142668428005,0.004319032536711776,0.00477326968973747
13,35.0,12.25,64,0,0,1,0.0047556142668428005,0.004319032536711776,0.006711409395973154
10,58.0,20.3,27,0,0,1,0.0047556142668428005,0.008141112618724558,0.0
56,23.0,9.2,32,0,0,1,0.0031746031746031746,0.008141112618724558,0.00477326968973747
6,22.0,7.7,41,0,0,1,0.0047556142668428005,0.004319032536711776,0.0061633281972265025
47,17.5,4.38,25,0,0,1,0.059456550981974714,0.05725971370143149,0.05921757770632369
55,33.0,11.55,31,0,0,1,0.0047556142668428005,0.004319032536711776,0.011538461538461539
49,15.0,3.75,31,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
13,40.0,14.0,56,0,0,1,0.0047556142668428005,0.004319032536711776,0.0
44,63.5,15.88,25,0,0,1,0.059456550981974714,0.0670147954743255,0.05921757770632369
