Product_encoded,Product,Frequency
0.0670147954743255,Silver Plan,1149
0.05725971370143149,Bronze Plan,2445
0.05263157894736842,Single Trip Travel Protect Silver,57
0.045454545454545456,Premier Plan,44
0.03636363636363636,Single Trip Travel Protect Gold,55
0.032520325203252036,Gold Plan,123
0.017045454545454544,Comprehensive Plan,176
0.008141112618724558,Value Plan,737
0.005952380952380952,Travel Cruise Protect,336
0.004319032536711776,Basic Plan,3473
0.0,24 Protect,169
0.0,Rental Vehicle Excess Insurance,169
0.0,Single Trip Travel Protect Platinum,169
